"KPI","Date","Region","Country Code","Market","Brand","Segment","Series","Model Range","Drivetrain Category","Model Code","Value Actual","Benchmark"
"Retail - All","2026-06-01 00:00:00","C1","DE","GERMANY","BMW","GKL+","XM","G09","NON-BEV","11CS",31,24
"Retail - All","2026-06-01 00:00:00","C1","ES","SPAIN","BMW","GKL+","XM","G09","NON-BEV","11CS",,21
"Retail - All","2026-06-01 00:00:00","C1","FR","FRANCE","BMW","GKL+","XM","G09","NON-BEV","11CS",,11
"Retail - All","2026-06-01 00:00:00","C1","GR","CEEU","BMW","GKL+","XM","G09","NON-BEV","11CS",,1
"Retail - All","2026-06-01 00:00:00","C1","HU","CEEU","BMW","GKL+","XM","G09","NON-BEV","11CS",,3
"Retail - All","2026-06-01 00:00:00","C1","IT","ITALY","BMW","GKL+","XM","G09","NON-BEV","11CS",,10
"Retail - All","2026-06-01 00:00:00","C1","NL","NETHERLANDS","BMW","GKL+","XM","G09","NON-BEV","11CS",,6
"Retail - All","2026-06-01 00:00:00","C1","PL","CEEU","BMW","GKL+","XM","G09","NON-BEV","11CS",,7
"Retail - All","2026-06-01 00:00:00","C1","RO","CEEU","BMW","GKL+","XM","G09","NON-BEV","11CS",,2
"Retail - All","2026-06-01 00:00:00","C1","SI","CEEU","BMW","GKL+","XM","G09","NON-BEV","11CS",,1
"Retail - All","2026-06-01 00:00:00","C1","SK","CEEU","BMW","GKL+","XM","G09","NON-BEV","11CS",,
"Order Intake - All","2026-06-01 00:00:00","C1","DE","GERMANY","BMW","UKL2+","2 Series","G87","NON-BEV","11DM",,5
"Order Intake - All","2026-06-01 00:00:00","C1","FR","FRANCE","BMW","UKL2+","2 Series","G87","NON-BEV","11DM",,1
"Retail - All","2026-06-01 00:00:00","C1","BE","BELGIUM/LUXEMBOURG","BMW","UKL2+","2 Series","G87","NON-BEV","11DM",,3
"Retail - All","2026-06-01 00:00:00","C1","CH","SWITZERLAND","BMW","UKL2+","2 Series","G87","NON-BEV","11DM",,
"Retail - All","2026-06-01 00:00:00","C1","DE","GERMANY","BMW","UKL2+","2 Series","G87","NON-BEV","11DM",,
